Batterie Ladung, Voltage, Kanalbelegung, Airtime, Timestamp
85, 4.067, 15.83, 0.056555554, 08.11.23 16:41
80, 4.018, 12.586667, 1.3391668, 08.11.23 16:32
83, 4.047, 14.176666, 0.071166664, 08.11.23 15:54
85, 4.067, 22.771667, 4.8606944, 08.11.23 15:48
84, 4.052, 11.001667, 2.57375, 08.11.23 15:33
85, 4.067, 14.693334, 1.2882222, 08.11.23 15:18
84, 4.052, 21.096666, 0.109000005, 08.11.23 15:03
84, 4.052, 21.451668, 0.109000005, 08.11.23 14:51
85, 4.067, 20.303333, 0.10877778, 08.11.23 14:53
87, 4.081, 18.95, 0.09122222, 08.11.23 14:42
85, 4.062, 12.41, 0.056333333, 08.11.23 14:40
77, 3.993, 19.336666, 0.085999995, 08.11.23 14:37
81, 4.027, 15.723332, 0.11633333, 08.11.23 14:31
82, 4.037, 21.576668, 0.15758333, Unbekanntes alter
81, 4.032, 14.943333, 0.10241667, Unbekanntes alter
81, 4.032, 11.533334, 0.08141667, Unbekanntes alter
86, 4.071, 10.443334, 0.02825, Unbekanntes alter
85, 4.067, 13.686667, 0.29994446, 02.11.23 15:32
82, 4.037, 3.3366666, 0.15158333, 02.11.23 15:17
81, 4.032, 5.153333, 0.02825, Unbekanntes alter
85, 4.067, 11.318334, 0.09375, Unbekanntes alter